2597 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymA_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymA_cool_star_SN']
LCDM_vanilla	SymA_cool_star_SN
2185	4015
2186	None
2187	2823
2188	None
2189	4238
2190	7638
2191	6976
2192	1741
2193	2918
2194	3217
2195	5947
2196	4080
2197	4092
2198	None
2199	5273
2200	4113
2201	None
2202	4097
2203	1259
2204	None
2205	None
2206	4189
2207	4220
2208	4601
2209	None
2210	3581
2211	4045
2212	None
2213	1685
2214	2367
2215	None
2216	3238
2217	2737
2218	3667
2219	2638
2220	None
2221	6319
2222	4077
2223	None
2224	None
2225	3008
2226	2869
2227	2975
2228	3018
2229	2013
2230	2453
2231	3391
2232	5628
2233	2378
2234	3594
2235	None
2236	6889
2237	None
2238	None
2239	4893
2240	None
2241	None
2242	None
2243	3113
2244	5118
2245	None
2246	4082
2247	3842
2248	4011
2249	None
2250	4457
2251	3441
2252	None
2253	None
2254	None
2255	3602
2256	None
2257	4297
2258	3570
2259	None
2260	None
2261	4841
2262	None
2263	2091
2264	2472
2265	None
2266	4887
2267	None
2268	2662
2269	4432
2270	3687
2271	2772
2272	3224
2273	2541
2274	3717
2275	3589
2276	3275
2277	None
2278	3618
2279	None
2280	5221
2281	2926
2282	None
2283	4406
2284	None
2285	5964
2286	2334
2287	None
2288	None
2289	3451
2290	None
2291	3488
2292	2332
2293	None
2294	None
2295	None
2296	None
2297	4307
2298	2251
2299	2396
2300	None
2301	3009
2302	None
2303	5428
2304	None
2305	None
2306	3982
2307	None
2308	None
2309	4333
2310	3239
2311	2651
2312	None
2313	None
2314	None
2315	None
2316	None
2317	None
2318	2046
2319	None
2320	None
2321	3113
2322	4668
2323	None
2324	4020
2325	2203
2326	None
2327	None
2328	None
2329	None
2330	None
2331	None
2332	3642
2333	None
2334	2668
2335	2671
2336	4618
2337	None
2338	4887
2339	3060
2340	None
2341	3806
2342	None
2343	None
2344	None
2345	None
2346	None
2347	4228
2348	None
2349	None
2350	3419
2351	None
2352	4284
2353	3636
2354	None
2355	None
2356	3619
2357	None
2358	3772
2359	2846
2360	None
2361	None
2362	None
2363	None
2364	None
2365	None
2366	None
2367	5059
