1603 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_DM', '64', '.5', 'match_LCDM_vanilla_SymD_DM']
LCDM_vanilla	SymD_DM
1972	None
1973	3634
1974	None
1975	None
1976	None
1977	None
1978	None
1979	3283
1980	3711
1981	None
1982	None
1983	None
1984	None
1985	None
1986	None
1987	None
1988	None
1989	None
1990	None
1991	None
1992	None
1993	1472
1994	None
1995	None
1996	3143
1997	3279
1998	None
1999	3948
2000	None
2001	None
2002	None
2003	None
2004	None
2005	None
2006	None
2007	2053
2008	None
2009	None
2010	None
2011	3997
2012	None
2013	None
2014	1506
2015	4573
2016	None
2017	None
2018	None
2019	None
2020	1023
2021	4986
2022	None
2023	None
2024	None
2025	3320
2026	None
2027	None
2028	None
2029	None
2030	1527
2031	None
2032	3648
2033	2576
2034	None
2035	None
2036	5359
2037	4770
2038	None
2039	None
2040	None
2041	5595
2042	None
2043	None
2044	4026
2045	None
2046	None
2047	None
2048	889
2049	4371
2050	3783
2051	None
2052	None
2053	4345
2054	2986
2055	None
2056	None
2057	None
2058	None
2059	None
2060	4794
2061	1851
2062	None
2063	None
2064	None
2065	None
2066	6056
2067	None
2068	1636
2069	3679
2070	None
2071	None
2072	None
2073	None
2074	None
2075	None
2076	None
2077	None
2078	None
2079	None
2080	None
2081	None
2082	None
2083	3456
2084	None
2085	None
2086	None
2087	None
2088	None
2089	None
2090	None
2091	None
2092	1773
2093	None
2094	4957
2095	None
2096	4107
2097	None
2098	3940
2099	3878
2100	None
2101	None
2102	None
2103	1228
2104	5321
2105	None
2106	None
2107	6940
2108	None
2109	None
2110	None
2111	None
2112	None
2113	None
2114	None
2115	None
2116	3326
2117	4167
2118	None
2119	2162
2120	None
2121	None
2122	None
2123	2708
2124	None
2125	None
2126	None
2127	4160
2128	3731
2129	None
2130	None
2131	None
2132	None
2133	4547
2134	None
2135	5943
2136	None
2137	None
2138	2679
2139	3750
2140	None
2141	3408
2142	None
2143	2332
2144	None
2145	6129
2146	None
2147	3166
2148	None
2149	None
2150	None
2151	None
2152	None
2153	None
2154	None
2155	2522
2156	2116
2157	None
2158	None
2159	None
2160	None
2161	None
2162	1809
2163	None
2164	5239
2165	None
2166	2095
2167	2627
2168	None
2169	None
2170	None
2171	None
2172	5425
2173	None
2174	None
2175	None
2176	None
2177	None
2178	None
2179	None
2180	None
2181	2941
2182	None
2183	None
2184	None
2185	None
2186	None
2187	2204
2188	3802
2189	3666
2190	None
2191	None
2192	2332
2193	None
2194	4852
2195	6220
2196	None
2197	None
2198	None
2199	None
2200	1052
2201	2712
2202	4029
2203	None
2204	None
2205	None
2206	None
2207	None
2208	1862
2209	None
2210	None
2211	1282
2212	None
2213	None
2214	3614
2215	None
2216	4980
2217	2480
2218	None
2219	None
2220	None
2221	7603
2222	None
2223	None
2224	None
2225	3565
2226	4359
2227	1846
2228	None
2229	None
2230	2641
2231	None
2232	None
2233	4642
2234	None
2235	None
2236	1978
2237	None
2238	None
2239	1409
2240	4093
2241	None
2242	None
2243	1396
2244	6679
2245	5731
2246	None
2247	2962
2248	1573
2249	4762
2250	None
2251	None
2252	4642
2253	None
2254	None
2255	None
2256	2931
2257	1846
2258	2376
2259	None
2260	None
2261	1267
2262	2890
2263	2145
2264	2535
2265	None
2266	None
2267	None
2268	None
2269	1624
2270	None
2271	None
2272	None
2273	None
2274	4299
2275	None
2276	None
2277	2225
2278	2675
2279	None
2280	2623
2281	2687
2282	3593
2283	1650
2284	None
2285	None
2286	2453
2287	None
2288	2346
2289	None
2290	None
2291	None
2292	2454
2293	None
2294	None
2295	None
2296	None
2297	4562
2298	4017
2299	None
2300	None
2301	4130
2302	None
2303	None
2304	None
2305	1333
2306	None
2307	None
2308	None
2309	None
2310	2341
2311	3709
2312	4487
2313	None
2314	None
2315	None
2316	None
2317	4615
2318	None
2319	None
2320	None
2321	1935
2322	None
2323	None
2324	None
2325	None
2326	3628
2327	4164
2328	None
2329	None
2330	None
2331	None
2332	None
2333	None
2334	None
2335	None
2336	1835
2337	None
2338	None
2339	2685
2340	None
2341	None
2342	None
2343	3434
2344	None
2345	None
2346	None
2347	None
2348	None
2349	None
2350	None
2351	None
2352	None
2353	None
2354	None
2355	None
2356	2668
2357	None
2358	None
2359	2949
2360	None
2361	None
2362	None
2363	None
2364	None
2365	None
2366	None
2367	None
2368	6395
2369	None
2370	None
2371	None
2372	None
2373	None
2374	None
2375	None
2376	None
2377	None
2378	None
2379	None
2380	None
2381	5298
2382	None
2383	3237
2384	4286
2385	None
2386	None
2387	None
2388	None
2389	None
2390	None
2391	None
2392	4679
2393	None
2394	3421
2395	1793
2396	1235
2397	3103
2398	5428
2399	None
2400	None
2401	3916
2402	None
2403	None
2404	4198
2405	2930
2406	None
2407	6618
2408	None
2409	None
2410	None
2411	4109
2412	4479
2413	None
2414	3247
2415	2763
2416	None
2417	None
2418	None
2419	None
2420	None
2421	None
2422	5231
2423	None
2424	None
2425	None
2426	None
2427	6721
2428	2767
2429	None
2430	None
2431	980
2432	None
2433	2706
2434	5427
2435	None
2436	None
2437	4082
2438	3509
2439	4681
2440	None
2441	1491
2442	None
2443	None
2444	None
2445	None
2446	None
2447	None
2448	None
2449	None
2450	4130
2451	3075
2452	None
2453	None
2454	None
2455	None
2456	None
2457	None
2458	None
2459	None
2460	None
2461	None
2462	None
2463	None
2464	None
2465	None
2466	None
2467	None
2468	4377
2469	None
2470	None
2471	3452
2472	None
2473	None
2474	None
2475	3131
2476	4982
2477	None
2478	None
2479	None
2480	None
2481	None
2482	3129
2483	None
2484	None
2485	None
2486	None
2487	None
2488	None
2489	None
2490	4525
2491	None
2492	None
2493	5094
2494	None
2495	None
2496	None
2497	2428
2498	3227
2499	None
2500	None
2501	None
2502	None
2503	None
2504	5672
2505	None
2506	2939
2507	None
2508	2553
2509	None
2510	None
2511	2717
2512	None
2513	None
2514	None
2515	None
2516	None
2517	None
2518	3666
2519	None
2520	5175
2521	None
2522	1720
2523	5392
2524	None
2525	None
2526	None
2527	None
